y,p,r
1.8106,1.2582,0.2317
1.8237,1.2337,0.2438
1.8375,1.2079,0.2566
1.8527,1.1803,0.2704
1.8686,1.1507,0.2846
1.8853,1.1197,0.2991
1.9020,1.0878,0.3133
1.9185,1.0546,0.3270
1.9348,1.0198,0.3404
1.9509,0.9830,0.3536
1.9668,0.9444,0.3666
1.9833,0.9038,0.3798
2.0000,0.8618,0.3924
2.0167,0.8199,0.4040
2.0323,0.7791,0.4135
2.0468,0.7414,0.4208
2.0600,0.7075,0.4258
2.0717,0.6772,0.4288
2.0822,0.6500,0.4296
2.0913,0.6250,0.4286
2.0994,0.6014,0.4262
2.1068,0.5779,0.4231
2.1139,0.5542,0.4198
2.1207,0.5292,0.4170
2.1272,0.5028,0.4151
2.1324,0.4754,0.4136
2.1357,0.4481,0.4124
2.1367,0.4225,0.4111
2.1352,0.3988,0.4095
2.1320,0.3779,0.4077
2.1281,0.3602,0.4062
2.1250,0.3442,0.4053
2.1228,0.3286,0.4046
2.1217,0.3116,0.4037
2.1215,0.2921,0.4023
2.1219,0.2697,0.4002
2.1233,0.2441,0.3980
2.1255,0.2155,0.3961
2.1279,0.1848,0.3941
2.1300,0.1541,0.3917
2.1312,0.1247,0.3883
2.1307,0.0985,0.3834
2.1280,0.0754,0.3770
2.1234,0.0549,0.3693
2.1178,0.0354,0.3614
2.1116,0.0150,0.3543
2.1059,-0.0072,0.3485
2.1010,-0.0314,0.3444
2.0963,-0.0565,0.3418
2.0915,-0.0806,0.3402
2.0857,-0.1017,0.3392
2.0788,-0.1191,0.3388
2.0713,-0.1335,0.3388
2.0635,-0.1479,0.3400
2.0559,-0.1654,0.3421
2.0492,-0.1865,0.3447
2.0433,-0.2104,0.3466
2.0379,-0.2349,0.3471
2.0330,-0.2563,0.3465
2.0281,-0.2728,0.3451
2.0237,-0.2843,0.3440
2.0201,-0.2925,0.3438
2.0175,-0.2997,0.3451
2.0159,-0.3066,0.3478
2.0148,-0.3123,0.3516
2.0140,-0.3163,0.3564
2.0132,-0.3177,0.3619
2.0129,-0.3164,0.3672
2.0136,-0.3126,0.3720
2.0153,-0.3061,0.3762
2.0184,-0.2960,0.3797
2.0227,-0.2810,0.3824
2.0277,-0.2599,0.3839
2.0330,-0.2327,0.3844
2.0380,-0.2007,0.3839
2.0425,-0.1668,0.3826
2.0462,-0.1343,0.3813
2.0502,-0.1056,0.3806
2.0557,-0.0814,0.3810
2.0637,-0.0610,0.3830
2.0749,-0.0441,0.3867
2.0884,-0.0292,0.3917
2.1032,-0.0148,0.3974
2.1182,0.0008,0.4033
2.1326,0.0186,0.4087
2.1462,0.0393,0.4139
2.1596,0.0620,0.4198
2.1739,0.0833,0.4278
2.1904,0.1002,0.4389
2.2105,0.1103,0.4536
2.2339,0.1139,0.4708
2.2599,0.1121,0.4891
2.2860,0.1077,0.5066
2.3095,0.1051,0.5219
2.3287,0.1074,0.5349
2.3437,0.1148,0.5460
2.3559,0.1255,0.5563
2.3671,0.1370,0.5669
2.3787,0.1475,0.5779
2.3915,0.1547,0.5892
2.4056,0.1578,0.6006
2.4207,0.1578,0.6119
2.4359,0.1565,0.6231
2.4508,0.1546,0.6346
2.4654,0.1522,0.6462
2.4796,0.1491,0.6583
2.4932,0.1456,0.6708
2.5062,0.1424,0.6845
2.5191,0.1395,0.6996
2.5330,0.1359,0.7166
2.5484,0.1305,0.7361
2.5651,0.1234,0.7572
2.5823,0.1168,0.7792
2.5992,0.1120,0.8007
2.6152,0.1083,0.8206
2.6312,0.1043,0.8389
2.6476,0.0989,0.8557
2.6643,0.0922,0.8714
2.6811,0.0837,0.8856
2.6971,0.0746,0.8980
2.7120,0.0653,0.9090
2.7252,0.0563,0.9182
2.7371,0.0476,0.9264
2.7482,0.0399,0.9341
2.7601,0.0316,0.9416
2.7732,0.0230,0.9493
2.7871,0.0137,0.9566
2.8018,0.0037,0.9638
2.8165,-0.0064,0.9710
2.8312,-0.0162,0.9785
2.8455,-0.0249,0.9870
2.8593,-0.0327,0.9959
2.8722,-0.0400,1.0050
2.8834,-0.0466,1.0128
2.8933,-0.0526,1.0191
2.9023,-0.0585,1.0246
2.9107,-0.0643,1.0295
2.9187,-0.0696,1.0344
2.9257,-0.0738,1.0394
